"","Chamber","Channel","Temp.TRT","Leaf.spp.","Beg.Date","Beg.Length.mm","beg.mass.mg","End.Date","End.Length.mm","end.mass.mg","Days.in.expt","igr","igr_norm"
"81","A160","0B",0,"Acer","13-Mar-19",9.255,7.50621831242958,"17-Apr-19",9.329,7.67162862796042,35,0.000622775568752993,0.00008296795307988
"82","A173","4A",4,"Acer","13-Mar-19",8.208,5.40401495507567,"17-Apr-19",8.421,5.79654589662954,35,0.00200342907384031,0.000370729742699658
"83","A176","4A",4,"Acer","13-Mar-19",8.001,5.0391210310393,"17-Apr-19",8.469,5.88742610275304,35,0.00444534969838935,0.000882167677856412
"84","A178","4A",4,"Acer","13-Mar-19",7.694,4.52738516481512,"17-Apr-19",7.685,4.5129050747927,35,-0.0000915274179523592,-0.000020216397461314
"85","A183","2D",2,"Acer","13-Mar-19",8.698,6.33344244540822,"17-Apr-19",7.928,4.91427898768886,35,-0.00724853920095482,-0.00114448647215703
"86","A184","2D",2,"Acer","13-Mar-19",9.995,9.26519236769332,"17-Apr-19",10.31,10.086439508282,35,0.0024264936119827,0.000261893495103632
"87","A185","2D",2,"Acer","13-Mar-19",8.694,6.32547385066652,"17-Apr-19",8.97,6.89035880922077,35,0.00244394890202096,0.000386366137892332
"88","A187","2D",2,"Acer","13-Mar-19",7.969,4.98415104761438,"17-Apr-19",8.647,6.23231911602386,35,0.00638529787900174,0.00128112045923207
"89","A188","2D",2,"Acer","13-Mar-19",8.445,5.84187384436239,"17-Apr-19",8.793,6.52457294033865,35,0.00315782549072134,0.000540550099993814
"90","A190","2D",2,"Acer","13-Mar-19",8.428,5.80974340471186,"17-Apr-19",8.381,5.72149650851888,35,-0.000437314483728571,-0.000075272598678609
"91","A193","1D",1,"Acer","13-Mar-19",8.526,5.99651445571571,"17-Apr-19",9.225,7.43981076643928,35,0.00616191535783536,0.00102758284055532
"92","A195","1D",1,"Acer","13-Mar-19",7.545,4.29143236779569,"17-Apr-19",9.759,8.67863206749626,35,0.0201212387960698,0.00468869996578908
"93","A196","1D",1,"Acer","13-Mar-19",8.507,5.96001040544022,"17-Apr-19",8.74,6.41749756411458,35,0.0021130293496831,0.000354534506811322
"94","A197","1D",1,"Acer","13-Mar-19",9.078,7.11980402464018,"17-Apr-19",9.56,8.20280094042549,35,0.00404558496087062,0.000568215774882242
"95","A198","1D",1,"Acer","13-Mar-19",8.082,5.1799790487084,"17-Apr-19",7.875,4.82488215968741,35,-0.00202899142806657,-0.00039169877117022
"96","A199","1D",1,"Acer","13-Mar-19",8.039,5.10489570638997,"17-Apr-19",8.699,6.3354355889923,35,0.00617024425184314,0.00120869153979378
"97","A200","1D",1,"Acer","13-Mar-19",8.368,5.69723897090496,"17-Apr-19",8.007,5.04947053130646,35,-0.00344852211174791,-0.000605297079753729
"98","R003","2A",2,"Rhodo","12-Mar-19",8.067,5.1537081504495,"17-Apr-19",7.817,4.72824212393636,36,-0.00239341653759596,-0.000464406688878417
"99","R004","2A",2,"Rhodo","12-Mar-19",8.102,5.21513889026173,"17-Apr-19",9.384,7.79605465168682,36,0.011168113080665,0.0021414795110288
"100","R005","2A",2,"Rhodo","12-Mar-19",8.278,5.53109097240316,"17-Apr-19",7.596,4.3712932886283,36,-0.00653683795084678,-0.00118183519010295
"101","R006","2A",2,"Rhodo","12-Mar-19",8.243,5.46731865722157,"17-Apr-19",8.243,5.46731865722157,36,0,0
"102","R007","2A",2,"Rhodo","12-Mar-19",7.877,4.82823672869146,"17-Apr-19",8.542,6.02736450882263,36,0.00616190326382404,0.00127622227535103
"103","R009","2A",2,"Rhodo","12-Mar-19",8.032,5.09273862867087,"17-Apr-19",8.798,6.53473248576046,36,0.00692543565992978,0.00135986473386662
"104","R013","0C",0,"Rhodo","12-Mar-19",8.124,5.25398922756291,"17-Apr-19",7.653,4.46165844754591,36,-0.00454075263310833,-0.00086424856169996
"105","R014","0C",0,"Rhodo","12-Mar-19",7.618,4.40603204744098,"17-Apr-19",7.848,4.77974017297652,36,0.00226143516565555,0.000513258900821884
"106","R015","0C",0,"Rhodo","12-Mar-19",7.713,4.55805099084924,"17-Apr-19",7.878,4.8299145680992,36,0.00160926838534955,0.000353060636789785
"107","R016","0C",0,"Rhodo","12-Mar-19",7.757,4.6295718490898,"17-Apr-19",7.572,4.33359526503962,36,-0.00183519105217939,-0.000396406214656803
"108","R017","0C",0,"Rhodo","12-Mar-19",8.638,6.21458094365975,"17-Apr-19",8.713,6.36338140733667,36,0.000657266883361738,0.000105762060116426
"109","R018","0C",0,"Rhodo","12-Mar-19",7.967,4.98072812174126,"17-Apr-19",8.207,5.40221314903951,36,0.00225646173579054,0.000453038527829076
"110","R019","0C",0,"Rhodo","12-Mar-19",7.73,4.58560029052864,"17-Apr-19",8.128,5.26107259464023,36,0.00381705275789193,0.000832399798511852
"111","R020","0C",0,"Rhodo","12-Mar-19",7.676,4.49845441055681,"17-Apr-19",7.8,4.70015141520799,36,0.00121835696501676,0.000270839015764517
