Image,Date,Temp TRT,Channel,Chamber,Leaf spp.,BWP?,,,,,,,
DSC01638,17-Apr-19,1,1A,A098,Acer,N,,,,,,,
DSC01639,17-Apr-19,1,1A,A093,Acer,N,,,,,,,
DSC01640,17-Apr-19,1,1A,A096,Acer,N,,,,,,,
DSC01641,17-Apr-19,1,1A,A094,Acer,N,,,,,,,
DSC01642,17-Apr-19,1,1A,A095,Acer,N,,,,,,,
DSC01643,17-Apr-19,1,1A,A097,Acer,N,,,,,,,
DSC01645,17-Apr-19,1,1D,R197,Rhodo,N,,,,,,,
DSC01646,17-Apr-19,1,1D,R198,Rhodo,N,,,,,,,
DSC01647,17-Apr-19,1,1D,R199,Rhodo,N,,,,,,,
DSC01648,17-Apr-19,1,1D,R196,Rhodo,N,,,,,,,
DSC01649,17-Apr-19,1,1D,R193,Rhodo,N,,,,,,,
DSC01650,17-Apr-19,1,1D,R194,Rhodo,N,,,,,,,
DSC01651,17-Apr-19,1,1D,A193,Acer,N,,,,,,,
DSC01653,17-Apr-19,1,1D,A197,Acer,N,,,,,,,
DSC01654,17-Apr-19,1,1D,A195,Acer,N,,,,,,,
DSC01655,17-Apr-19,1,1D,A196,Acer,N,,,,,,,
DSC01656,17-Apr-19,1,1D,A200,Acer,N,,,,,,,
DSC01657,17-Apr-19,1,1D,A198,Acer,N,,,,,,,
DSC01658,17-Apr-19,1,1D,A199,Acer,N,,,,,,,
