,Chamber,Channel,Temp.TRT,Leaf.spp.,Beg.Date,Beg.Length.mm,beg.mass.mg,End.Date,End.Length.mm,end.mass.mg,Days.in.expt,igr,igr_norm
153,R098,1A,1,R,12-Mar-19,7.191,3.762540685,17-Apr-19,7.685,4.512905075,36,0.005051296,0.001342523
154,R099,1A,1,R,12-Mar-19,7.504,4.227906598,17-Apr-19,7.766,4.644288259,36,0.002609199,0.000617137
155,R100,1A,1,R,12-Mar-19,8.411,5.777725343,17-Apr-19,9.392,7.814258917,36,0.008387224,0.001451648
156,R103,4C,4,R,12-Mar-19,7.312,3.938364912,17-Apr-19,7.649,4.455278719,36,0.003425666,0.000869819
157,R105,4C,4,R,12-Mar-19,7.893,4.855126577,17-Apr-19,7.848,4.779740173,36,-0.000434694,-8.9533E-05
158,R107,4C,4,R,12-Mar-19,7.415,4.092070936,17-Apr-19,8.073,5.164206338,36,0.006463896,0.001579615
159,R113,1B,1,R,12-Mar-19,8.1,5.211616112,17-Apr-19,8.351,5.6656162,36,0.002320157,0.00044519
160,R114,1B,1,R,12-Mar-19,7.038,3.547460373,17-Apr-19,8.807,6.553044956,36,0.017047163,0.004805455
161,R115,1B,1,R,12-Mar-19,8.223,5.431087826,17-Apr-19,8.002,5.040845012,36,-0.00207127,-0.000381373
162,R116,1B,1,R,12-Mar-19,7.718,4.566142791,17-Apr-19,7.123,3.665957283,36,-0.006099426,-0.001335794
163,R117,1B,1,R,12-Mar-19,8.053,5.129265078,17-Apr-19,9.23,7.45085269,36,0.01037128,0.002021982
164,R118,1B,1,R,12-Mar-19,7.683,4.509691274,17-Apr-19,8.337,5.639657737,36,0.006210963,0.001377248
165,R120,1B,1,R,12-Mar-19,8.171,5.337601818,17-Apr-19,8.257,5.492771268,36,0.000796013,0.000149133
166,R123,1C,1,R,12-Mar-19,7.592,4.364995891,17-Apr-19,7.255,3.85490368,36,-0.003451979,-0.000790832
167,R124,1C,1,R,12-Mar-19,8.169,5.334026757,17-Apr-19,8.909,6.762865994,36,0.006592787,0.001235987
168,R125,1C,1,R,12-Mar-19,8.639,6.216550267,17-Apr-19,9.532,8.137211825,36,0.007478679,0.001203027
169,R126,1C,1,R,12-Mar-19,8.265,5.507349316,17-Apr-19,8.985,6.921941272,36,0.006350356,0.001153069
170,R127,1C,1,R,12-Mar-19,7.734,4.592097796,17-Apr-19,8.738,6.413478983,36,0.009279581,0.002020772
171,R129,1C,1,R,12-Mar-19,7.366,4.018482895,17-Apr-19,6.963,3.444947874,36,-0.004277657,-0.001064496
172,R130,1C,1,R,12-Mar-19,7.912,4.887181474,17-Apr-19,6.876,3.328412866,36,-0.010670005,-0.002183264
173,R134,3B,3,R,12-Mar-19,9.099,7.164973402,17-Apr-19,9.134,7.240659058,36,0.000291886,4.07379E-05
174,R137,3B,3,R,12-Mar-19,7.419,4.098115573,17-Apr-19,7.781,4.668881519,36,0.003622008,0.000883823
175,R138,3B,3,R,12-Mar-19,7.608,4.390220068,17-Apr-19,7.722,4.57262279,36,0.001130767,0.000257565
176,R140,3B,3,R,12-Mar-19,8.034,5.096210202,17-Apr-19,8.87,6.682144591,36,0.007526162,0.001476815
177,R143,4B,4,R,12-Mar-19,9.375,7.77560705,17-Apr-19,9.493,8.046411677,36,0.000950964,0.000122301
178,R146,4B,4,R,12-Mar-19,8.466,5.881719787,17-Apr-19,9.881,8.978814159,36,0.011750517,0.001997803
179,R147,4B,4,R,12-Mar-19,9.036,7.030008363,17-Apr-19,8.846,6.632775265,36,-0.001615683,-0.000229827
180,R153,0B,0,R,13-Mar-19,8.15,5.300139452,17-Apr-19,7.899,4.865234715,35,-0.002446233,-0.000461541
181,R154,0B,0,R,13-Mar-19,8.842,6.624569623,17-Apr-19,8.815,6.56935002,35,-0.000239157,-3.61016E-05
182,R155,0B,0,R,13-Mar-19,8.455,5.860826665,17-Apr-19,7.494,4.212503624,35,-0.009435243,-0.001609883
183,R156,0B,0,R,13-Mar-19,10.407,10.3482989,17-Apr-19,9.798,8.7738879,35,-0.004715489,-0.000455678
184,R157,0B,0,R,13-Mar-19,9.049,7.057724984,17-Apr-19,7.913,4.888872284,35,-0.010490317,-0.00148636
185,R158,0B,0,R,13-Mar-19,8.902,6.748332225,17-Apr-19,7.84,4.766416452,35,-0.009934304,-0.001472112
186,R159,0B,0,R,13-Mar-19,8.551,6.044761836,17-Apr-19,7.985,5.011588208,35,-0.005355406,-0.000885958
187,R160,0B,0,R,13-Mar-19,8.419,5.792778678,17-Apr-19,8.496,5.9389411,35,0.000711965,0.000122906
188,R163,3C,3,R,13-Mar-19,8.123,5.252219332,17-Apr-19,8.182,5.357291835,35,0.000565939,0.000107752
189,R165,3C,3,R,13-Mar-19,8.581,6.102982984,17-Apr-19,8.13,5.26461655,35,-0.004221982,-0.00069179
190,R173,4A,4,R,13-Mar-19,9.061,7.08337102,17-Apr-19,8.208,5.404014955,35,-0.00773165,-0.001091521
191,R185,2D,2,R,13-Mar-19,9.749,8.654313713,17-Apr-19,9.22,7.428779234,35,-0.004362753,-0.000504113
192,R186,2D,2,R,13-Mar-19,8.702,6.341417408,17-Apr-19,8.84,6.620469219,35,0.001230398,0.000194026
193,R187,2D,2,R,13-Mar-19,7.384,4.045416779,17-Apr-19,8.308,5.586127046,35,0.009220047,0.002279134
194,R188,2D,2,R,13-Mar-19,8.817,6.573430304,17-Apr-19,8.081,5.178225018,35,-0.006816385,-0.00103696
195,R189,2D,2,R,13-Mar-19,8.281,5.536579023,17-Apr-19,8.394,5.745819492,35,0.001059878,0.000191432
196,R190,2D,2,R,13-Mar-19,7.968,4.982439398,17-Apr-19,8.228,5.440131203,35,0.002510959,0.000503962
197,R193,1D,1,R,13-Mar-19,7.114,3.653293453,17-Apr-19,8.065,5.150211767,35,0.009811679,0.002685708
198,R194,1D,1,R,13-Mar-19,8.496,5.9389411,17-Apr-19,8.75,6.43761444,35,0.002303634,0.000387886
199,R196,1D,1,R,13-Mar-19,7.866,4.809804904,17-Apr-19,8.012,5.058105412,35,0.001438156,0.000299005
200,R197,1D,1,R,13-Mar-19,8.055,5.132752431,17-Apr-19,7.044,3.55574391,35,-0.010487936,-0.002043336
201,R198,1D,1,R,13-Mar-19,8.419,5.792778678,17-Apr-19,8.149,5.298359706,35,-0.002548994,-0.00044003
202,R199,1D,1,R,13-Mar-19,7.809,4.715009734,17-Apr-19,7.994,5.027063641,35,0.001831002,0.000388335
