trial#,date.start,date.end,days,treatment,channel, chamber,species,type,fragments,boat.g,boat.blot.g,fp.g,fp.PCLDM.g,tin.mass.g,tin.dm.g,tin.ash.g,notes
CT2,27-Mar-19,3-Apr-19,7,0,0C,R018,R,bug,2,1.8615,2.1183,0.321,0.4048,1.0013,1.0827,1.0063,
CT2,27-Mar-19,3-Apr-19,7,4,4D,R021,R,microbes,2,1.8291,2.2123,0.3191,0.4284,1.0251,1.1329,1.0404,
CT2,27-Mar-19,3-Apr-19,7,4,4D,R022,R,microbes,2,1.7153,1.9668,NA,NA,NA,NA,NA,
CT2,27-Mar-19,3-Apr-19,7,4,4D,R027,R,bug,2,1.716,1.9217,0.3156,0.3829,0.9743,1.0388,0.9779,
CT2,27-Mar-19,3-Apr-19,7,4,4D,R029,R,bug,2,1.8405,2.103,0.3411,0.4085,1.0134,1.0803,1.0178,
CT2,27-Mar-19,3-Apr-19,7,3,3D,R031,R,microbes,2,1.6593,1.8441,0.4698,0.5496,1.0343,1.1027,1.0407,
CT2,27-Mar-19,3-Apr-19,7,3,3D,R032,R,microbes,2,1.731,1.8925,NA,NA,NA,NA,NA,
CT2,27-Mar-19,3-Apr-19,7,3,3D,R037,R,bug,2,1.8783,2.0813,0.4957,0.5658,0.9753,1.0382,0.9783,
CT2,27-Mar-19,3-Apr-19,7,3,3D,R038,R,bug,2,1.7584,1.9917,0.4625,0.539,1.2268,1.2993,1.2306,
CT2,27-Mar-19,3-Apr-19,7,0,0A,R041,R,microbes,2,1.7036,2.1403,0.5224,0.651,0.9663,1.0904,0.9781,
CT2,27-Mar-19,3-Apr-19,7,0,0A,R042,R,microbes,2,1.8512,2.2858,NA,NA,NA,NA,NA,
CT2,27-Mar-19,3-Apr-19,7,0,0A,R047,R,bug,2,1.6746,2.1023,0.4116,0.5336,1.1,1.2188,1.108,
CT2,27-Mar-19,3-Apr-19,7,0,0A,R048,R,bug,2,1.7543,2.0129,0.4338,0.5241,0.9769,1.0637,0.9842,
CT2,27-Mar-19,3-Apr-19,7,0,0D,R051,R,microbes,2,1.7992,2.0408,0.4443,0.5491,0.9896,1.0865,0.9975,
CT2,27-Mar-19,3-Apr-19,7,0,0D,R052,R,microbes,2,1.7028,2.0072,NA,NA,NA,NA,NA,
CT2,27-Mar-19,3-Apr-19,7,0,0D,R057,R,bug,2,1.8343,2.0887,0.4664,0.5488,1.0114,1.0879,1.0176,
CT2,27-Mar-19,3-Apr-19,7,0,0D,R058,R,bug,2,1.8884,2.1512,0.4297,0.5152,0.9774,1.0571,0.9829,
CT2,27-Mar-19,3-Apr-19,7,2,2B,R061,R,microbes,2,1.7494,1.9686,0.4432,0.5169,1.2467,1.3174,1.2541,
CT2,27-Mar-19,3-Apr-19,7,2,2B,R062,R,microbes,2,1.8179,2.0457,NA,NA,NA,NA,NA,
CT2,27-Mar-19,3-Apr-19,7,2,2B,R067,R,bug,2,1.7453,2.0471,0.4693,0.5459,0.9667,1.0418,0.9701,
CT2,27-Mar-19,3-Apr-19,7,2,2B,R068,R,bug,2,1.7346,2.1457,0.4655,0.596,0.99,1.1193,1.0011,
CT2,27-Mar-19,3-Apr-19,7,3,3A,R071,R,microbes,2,1.7409,1.8851,0.4463,0.4965,0.9785,1.023,0.9827,
CT2,27-Mar-19,3-Apr-19,7,3,3A,R072,R,microbes,2,1.7014,1.9717,NA,NA,NA,NA,NA,
CT2,27-Mar-19,3-Apr-19,7,3,3A,R077,R,bug,2,1.7401,2.0482,0.4063,0.4933,0.9811,1.0645,0.9885,
CT2,27-Mar-19,3-Apr-19,7,3,3A,R078,R,bug,2,1.6622,1.9964,0.5492,0.6461,0.9753,1.0693,NA,
CT2,27-Mar-19,3-Apr-19,7,2,2C,R081,R,microbes,2,1.6526,1.8234,0.4329,0.4906,0.976,1.0298,0.9799,
CT2,27-Mar-19,3-Apr-19,7,2,2C,R082,R,microbes,2,1.7537,1.9167,NA,NA,NA,NA,NA,
