trial#,date.start,date.end,days,treatment,channel, chamber,species,type,fragments,boat.wt (g),boat+blotted wt (g),fp.wt (g),fp.PCLDM.wt (g),notes
CT1,12-Mar-19,20-Mar-19,8,2,2C,A086,A,bug,3,1.8343,2.011,0.4118,0.4469,
CT1,12-Mar-19,21-Mar-19,9,1,1A,R091,R,microbes,2,1.7673,1.9052,0.3062,NA,Microbes
CT1,12-Mar-19,21-Mar-19,9,1,1A,R092,R,microbes,2,1.6393,1.7661,0.4112,0.4529,Microbes
CT1,12-Mar-19,21-Mar-19,9,1,1A,R093,R,bug,2,1.7664,2.0463,0.4265,0.5081,
CT1,12-Mar-19,21-Mar-19,9,1,1A,R094,R,bug,2,1.7092,1.9794,0.3702,0.4555,
CT1,12-Mar-19,21-Mar-19,9,1,1A,R095,R,bug,2,1.6968,1.9284,0.4268,0.5011,
CT1,12-Mar-19,21-Mar-19,9,1,1A,R096,R,bug,2,1.7389,1.9014,0.4141,0.4651,
CT1,12-Mar-19,21-Mar-19,9,1,1A,A091,A,microbes,2,1.6541,1.7235,0.4108,NA,Microbes
CT1,12-Mar-19,21-Mar-19,9,1,1A,A092,A,microbes,2,1.7248,1.8109,0.4156,0.4422,Microbes
CT1,12-Mar-19,21-Mar-19,9,1,1A,A093,A,bug,3,1.8184,1.9765,0.4466,0.4759,
CT1,12-Mar-19,21-Mar-19,9,1,1A,A094,A,bug,3,1.8062,1.9299,0.3861,0.4095,
CT1,12-Mar-19,21-Mar-19,9,1,1A,A095,A,bug,3,1.7633,1.8884,0.3509,0.3693,
CT1,12-Mar-19,21-Mar-19,9,1,1A,A096,A,bug,3,1.727,1.8303,0.3877,0.4068,
CT1,12-Mar-19,20-Mar-19,8,4,4C,R101,R,microbes,2,1.8066,1.9979,0.4637,NA,Microbes
CT1,12-Mar-19,20-Mar-19,8,4,4C,R102,R,microbes,2,1.8045,2.0691,0.4485,0.5264,Microbes
CT1,12-Mar-19,20-Mar-19,8,4,4C,R103,R,bug,2,1.7451,1.9329,0.4269,0.4887,
CT1,12-Mar-19,20-Mar-19,8,4,4C,R104,R,bug,2,1.6537,1.857,0.376,0.4334,
CT1,12-Mar-19,20-Mar-19,8,4,4C,R105,R,bug,2,1.675,2.0075,0.3728,0.4657,
CT1,12-Mar-19,20-Mar-19,8,4,4C,R106,R,bug,2,1.8343,2.073,0.4622,0.5455,
CT1,12-Mar-19,20-Mar-19,8,4,4C,A101,A,microbes,2,1.7098,1.7681,0.3034,0.3067,Microbes
CT1,12-Mar-19,20-Mar-19,8,4,4C,A102,A,microbes,2,1.7792,1.823,0.3839,NA,Microbes
CT1,12-Mar-19,20-Mar-19,8,4,4C,A103,A,bug,3,1.7306,1.8404,0.4133,0.435,
CT1,12-Mar-19,20-Mar-19,8,4,4C,A104,A,bug,3,1.923,2.0308,0.3514,0.3741,
CT1,12-Mar-19,20-Mar-19,8,4,4C,A105,A,bug,3,1.8982,2.0222,0.3655,0.3959,
CT1,12-Mar-19,20-Mar-19,8,4,4C,A106,A,bug,3,1.9765,2.0728,0.5023,0.5244,
CT1,12-Mar-19,21-Mar-19,9,1,1B,R111,R,microbes,2,1.8148,1.9587,0.4309,NA,Microbes
CT1,12-Mar-19,21-Mar-19,9,1,1B,R112,R,microbes,2,1.7164,1.9155,0.3939,0.4594,Microbes
CT1,12-Mar-19,21-Mar-19,9,1,1B,R113,R,bug,2,1.6886,1.9519,0.4281,0.4978,
CT1,12-Mar-19,21-Mar-19,9,1,1B,R114,R,bug,2,1.7139,1.9669,0.4225,0.5009,
CT1,12-Mar-19,21-Mar-19,9,1,1B,R115,R,bug,2,1.6074,1.8421,0.3828,0.4496,
CT1,12-Mar-19,21-Mar-19,9,1,1B,R116,R,bug,2,1.6683,1.8679,0.3747,0.4372,
CT1,12-Mar-19,21-Mar-19,9,1,1B,A111,A,microbes,3,1.6854,1.7647,0.4515,NA,Microbes
CT1,12-Mar-19,21-Mar-19,9,1,1B,A112,A,microbes,3,1.7644,1.8421,0.3971,0.4156,Microbes
CT1,12-Mar-19,21-Mar-19,9,1,1B,A113,A,bug,3,1.8905,2.0711,0.4581,0.4894,
CT1,12-Mar-19,21-Mar-19,9,1,1B,A114,A,bug,3,1.6516,1.7761,0.3111,0.3355,
CT1,12-Mar-19,21-Mar-19,9,1,1B,A115,A,bug,3,1.6697,1.8097,0.3511,0.3787,
CT1,12-Mar-19,21-Mar-19,9,1,1B,A116,A,bug,3,1.7482,1.888,0.4127,0.4425,
