"","Beg.Date","End.Date","Days.in.expt","Temp.TRT","Channel","Chamber","Leaf.spp.","Beg.Length.mm","End.Length.mm","beg.mass.mg","end.mass.mg","BWP.end.","igr"
"91","13-Mar-19","17-Apr-19",35,1,"1D","A196","Acer",8.507,8.74,8.71874333024309,9.41746136595614,"N",0.00220258411934449
"92","13-Mar-19","17-Apr-19",35,1,"1D","A197","Acer",9.078,9.56,10.49416066471,12.1632069644797,"N",0.00421704563148114
"93","13-Mar-19","17-Apr-19",35,1,"1D","A198","Acer",8.082,7.875,7.53274035186296,6.99527165576528,"N",-0.00211498448822577
"94","13-Mar-19","17-Apr-19",35,1,"1D","A199","Acer",8.039,8.699,7.41896150593131,9.29196854204263,"N",0.00643175259426691
"95","13-Mar-19","17-Apr-19",35,1,"1D","A200","Acer",8.368,8.007,8.31842985505001,7.33501743808387,"N",-0.00359467796303134
"96","12-Mar-19","17-Apr-19",36,2,"2A","R003","Rhodo",8.067,7.817,7.49292228805819,6.84928392260445,"N",-0.00249485472479404
"97","12-Mar-19","17-Apr-19",36,2,"2A","R004","Rhodo",8.102,9.384,7.58604452448269,11.5351883813111,"N",0.011641441950726
"98","12-Mar-19","17-Apr-19",36,2,"2A","R005","Rhodo",8.278,7.596,8.06571661249362,6.31118062196264,"N",-0.00681388332983773
"99","12-Mar-19","17-Apr-19",36,2,"2A","R006","Rhodo",8.243,8.243,7.96880299625285,7.96880299625285,"N",0
"100","12-Mar-19","17-Apr-19",36,2,"2A","R007","Rhodo",7.877,8.542,7.00034142247177,8.82147433311874,"N",0.00642305809707343
"101","12-Mar-19","17-Apr-19",36,2,"2A","R009","Rhodo",8.032,8.798,7.40054571071037,9.59686003895839,"N",0.00721895065318951
"102","12-Mar-19","17-Apr-19",36,0,"0C","R013","Rhodo",8.124,7.653,7.64496139463617,6.44723659796767,"N",-0.00473319958431058
"103","12-Mar-19","17-Apr-19",36,0,"0C","R014","Rhodo",7.618,7.848,6.36347016926815,6.92706305443492,"N",0.00235727969587698
"104","12-Mar-19","17-Apr-19",36,0,"0C","R015","Rhodo",7.713,7.878,6.59249629373383,7.00287720046911,"N",0.00167747267205052
"105","12-Mar-19","17-Apr-19",36,0,"0C","R016","Rhodo",7.757,7.572,6.70035968558453,6.25445665117201,"N",-0.00191297043181141
"106","12-Mar-19","17-Apr-19",36,0,"0C","R017","Rhodo",8.638,8.713,9.10727789669346,9.33469683999982,"N",0.000685123280318235
"107","12-Mar-19","17-Apr-19",36,0,"0C","R018","Rhodo",7.967,8.207,7.23095807160538,7.86991276664396,"N",0.00235209548126065
