"","trial","date.start","date.end","days","treatment","channel","chamber","species","mean_temp_C","AFDM_beg_mg","AFDM_end_mg","consumption.rate.mg.day","mean_microbe_consumption","consumption.bug.mg.day.mcorr","consumption.bug.mg.day.mcorr.modmasscorr","consumption.bug.mg.day.modmasscorr"
"40","CT1",2019-03-12,2019-03-20,8,4,"4C","A103","A",12.8358680555556,22.9966218,17.1,0.737077725000002,0.535808577777772,0.201269147222231,0.0223225363963673,0.0817484675139859
"41","CT1",2019-03-12,2019-03-20,8,4,"4C","A104","A",12.8358680555556,22.5777398,14.5999999999999,0.99721747500001,0.535808577777772,0.461408897222238,0.0586026830480799,0.126654730693857
"42","CT1",2019-03-12,2019-03-20,8,4,"4C","A105","A",12.8358680555556,25.970684,20.5,0.683835500000007,0.535808577777772,0.148026922222235,0.0231462878713707,0.10692820672107
"43","CT1",2019-03-12,2019-03-20,8,4,"4C","A106","A",12.8358680555556,20.1691683,15.3000000000001,0.60864603749999,0.535808577777772,0.0728374597222181,0.0102915835298234,0.0859987643571876
"44","CT1",2019-03-12,2019-03-21,9,1,"1B","A113","A",10.1488875,37.8250446,23.1000000000001,1.63611606666665,0.466175610763885,1.16994045590277,0.128908930200044,0.180274107774448
"45","CT1",2019-03-12,2019-03-21,9,1,"1B","A114","A",10.1488875,26.0754045,17.5000000000001,0.952822722222216,0.466175610763885,0.486647111458331,0.066748792414854,0.130689702242715
"46","CT1",2019-03-12,2019-03-21,9,1,"1B","A115","A",10.1488875,29.32174,21.5000000000001,0.869082222222217,0.466175610763885,0.402906611458332,0.0508249088474669,0.109630925552499
"47","CT1",2019-03-12,2019-03-21,9,1,"1B","A116","A",10.1488875,29.2798518,18.4,1.20887242222222,0.466175610763885,0.742696811458339,0.103754263924907,0.168878695063338
"48","CT1",2019-03-12,2019-03-21,9,1,"1C","A123","A",10.30695,36.2961253,16.3000000000001,2.22179169999999,0.466175610763885,1.75561608923611,0.298244156574525,0.377438094645794
"49","CT1",2019-03-12,2019-03-21,9,1,"1C","A124","A",10.30695,24.0438268,16.4,0.849314088888892,0.466175610763885,0.383138478125008,0.0398953025988336,0.0884370652185441
"50","CT1",2019-03-12,2019-03-21,9,1,"1C","A125","A",10.30695,25.0910318,16.2999999999999,0.976781311111128,0.466175610763885,0.510605700347244,0.0807985732014068,0.154566500557879
"51","CT1",2019-03-12,2019-03-21,9,1,"1C","A126","A",10.30695,25.1538641,15.3,1.09487378888889,0.466175610763885,0.628698178125009,0.101538447777069,0.176828546516753
"52","CT1",2019-03-12,2019-03-21,9,3,"3B","A133","A",11.9828729166667,39.584349,29.0999999999999,1.16492766666668,0.42280961666666,0.742118050000019,0.105146085536561,0.165051347401183
"53","CT1",2019-03-12,2019-03-21,9,3,"3B","A134","A",11.9828729166667,33.1545103,20.8,1.37272336666666,0.42280961666666,0.94991375,0.160625535445095,0.232120469662457
"54","CT1",2019-03-12,2019-03-21,9,3,"3B","A135","A",11.9828729166667,24.7768703,15.3,1.05298558888889,0.42280961666666,0.630175972222228,0.0786150740206434,0.131360990678931
"55","CT1",2019-03-12,2019-03-21,9,3,"3B","A136","A",11.9828729166667,38.2648707,19.5000000000001,2.08498563333333,0.42280961666666,1.66217601666667,0.239825400075178,0.300830061709066
"56","CT1",2019-03-12,2019-03-21,9,4,"4B","A143","A",12.9893083333333,27.7928207,15.1,1.41031341111111,0.535808577777772,0.87450483333334,0.114206815454848,0.184181261597291
"57","CT1",2019-03-12,2019-03-21,9,4,"4B","A144","A",12.9893083333333,29.8453425,28.1,0.193926944444444,0.535808577777772,-0.341881633333327,-0.0494542581885201,0.0280521450853015
"58","CT1",2019-03-12,2019-03-21,9,4,"4B","A145","A",12.9893083333333,29.5102369,18.9,1.17891521111111,0.535808577777772,0.643106633333337,0.090591264713198,0.166067980687155
"59","CT1",2019-03-13,2019-03-21,8,4,"4B","A146","A",12.8954675925926,28.7562493,8.79999999999992,2.49453116250001,0.535808577777772,1.95872258472224,0.262925757832141,0.334849100863977
"60","CT1",2019-03-13,2019-03-21,8,0,"0B","A153","A",9.28077546296296,21.2792056,11.3000000000001,1.24740069999999,0.695189524999995,0.552211174999998,0.064712733872183,0.146180869177583
"61","CT1",2019-03-13,2019-03-21,8,0,"0B","A154","A",9.28077546296296,1.2357019,17.2999999999999,-2.00803726249998,0.695189524999995,-2.70322678749998,-0.324983286158963,-0.241407251257826
"62","CT1",2019-03-13,2019-03-21,8,0,"0B","A155","A",9.28077546296296,27.5205474,19.2,1.04006842500001,0.695189524999995,0.34487890000001,0.0331420283051663,0.0999480605530197
"63","CT1",2019-03-13,2019-03-21,8,0,"0B","A156","A",9.28077546296296,23.457392,16.9000000000001,0.81967399999998,0.695189524999995,0.124484474999985,0.0106179150641165,0.0699141713234959
"64","CT1",2019-03-13,2019-03-21,8,3,"3C","A163","A",11.8627800925926,31.6046469,21.6000000000001,1.25058086249999,0.42280961666666,0.827771245833333,0.0820126070924218,0.123903067942716
"65","CT1",2019-03-13,2019-03-21,8,3,"3C","A164","A",11.8627800925926,35.4793054,22.1,1.672413175,0.42280961666666,1.24960355833334,0.136267957383136,0.182374902614596
"66","CT1",2019-03-13,2019-03-21,8,3,"3C","A165","A",11.8627800925926,28.0441499,23.9,0.518018737499993,0.42280961666666,0.0952091208333333,0.00739887842553823,0.0402562026344369
"67","CT1",2019-03-13,2019-03-21,8,3,"3C","A166","A",11.8627800925926,36.4846222,20.6,1.98557777500001,0.42280961666666,1.56276815833335,0.22477640689436,0.285590050893908
"68","CT1",2019-03-13,2019-03-21,8,4,"4A","A173","A",12.7713263888889,61.1986602,42.6000000000002,2.32483252499998,0.535808577777772,1.7890239472222,0.225016161326697,0.292407986665129
"69","CT1",2019-03-13,2019-03-21,8,4,"4A","A174","A",12.7713263888889,40.3173925,38.6,0.214674062500001,0.535808577777772,-0.32113451527777,-0.0405881936487923,0.0271326562720495
"70","CT1",2019-03-13,2019-03-21,8,4,"4A","A175","A",12.7713263888889,49.9726226,41.4,1.071577825,0.535808577777772,0.535769247222233,0.0615673676620593,0.123139254954138
"71","CT1",2019-03-13,2019-03-21,8,4,"4A","A176","A",12.7713263888889,54.1614426,35.6000000000001,2.32018032499999,0.535808577777772,1.78437174722222,0.241396764926891,0.31388303775484
"72","CT1",2019-03-13,2019-03-21,8,2,"2D","A183","A",10.9487592592593,10.053168,26.3,-2.030854,1.29812330833333,-3.32897730833333,-0.354865670501769,-0.216487016777538
"73","CT1",2019-03-13,2019-03-21,8,2,"2D","A184","A",10.9487592592593,32.2120258,20,1.526503225,1.29812330833333,0.228379916666665,0.0163754897248618,0.109454623860122
"74","CT1",2019-03-13,2019-03-21,8,2,"2D","A185","A",10.9487592592593,27.436771,19.3999999999999,1.00459637500002,1.29812330833333,-0.293526933333314,-0.031330768452337,0.107229602598142
